Name,Desc,Accuracy,Precision,Recall,F1 Score
DummyClassifier-MostFreq,Baseline-MostFrequent-5Fold,0.7983,0.0,0.0,0.0
LogisticRegression-Balanced,OneHot+Scaler+5Fold-Stratified,0.8177,0.5383,0.7462,0.6238
DecisionTreeClassifier-Balanced,OneHot+Scaler+5Fold-Stratified,0.8039,0.5469,0.4722,0.4925
DecisionTree-RecallTuned,Thresh=0.35|Depth=6|Split=10|Leaf=5|5Fold,0.7348,0.4157,0.6437,0.4973
DecisionTree-MaxRecall,Depth=None|Split=2|Leaf=1|Thresh=0.25|5Fold,0.8039,0.5469,0.4722,0.4925
DecisionTree-SMOTE,Thresh=0.35|Depth=6|Split=10|Leaf=5|5Fold|SMOTE,0.7583,0.4423,0.7595,0.5589
DecisionTree-SMOTE-RecallOptimized,Thresh=0.25|Depth=6|Split=10|Leaf=3|5Fold|SMOTE_0.8,0.7597,0.4442,0.6913,0.5375
RandomForestClassifier-Balanced,OneHot+Scaler+5Fold-Stratified,0.8301,0.8231,0.1982,0.3158
RandomForest-SMOTE-Threshold0.3,OneHot+Scaler+SMOTE+RF+Threshold=0.3,0.7085,0.3949,0.7662,0.5167
XGBoost-Balanced,OneHot+Scaler+5Fold-Stratified,0.8536,0.6675,0.5954,0.6214
XGBoost-SMOTE-Threshold0.25,OneHot+Scaler+SMOTE+XGB+Threshold=0.25,0.8273,0.5618,0.7671,0.6450
XGBoost-SMOTE-FineTuned,OptimizedParams|DynamicThresh=0.10|OneHot+Scaler,0.5676,0.3147,0.9586,0.4733
XGBoost-SMOTE-FineTuned-Balanced,OptimizedParams|DynamicThresh=0.70|OneHot+Scaler,0.8688,0.68,0.692,0.6836
LightGBM-Balanced,OneHot+Scaler+5Fold-Stratified+VerboseOff,0.8564,0.6737,0.6025,0.6304
LightGBM-Tuned-Threshold,BayesOpt+Threshold@0.5000,0.7459,0.4321,0.8288,0.5681
LightGBM-Tuned-HighRecall,OneHot+Scaler+5Fold-Stratified+ThresholdTuned+VerboseOff,0.2017,0.2017,1.0,0.3356
LightGBM-Optuna-Threshold,Optuna+ThresholdTuning+5Fold,0.8605,0.9376,0.3418,0.4922
CatBoost-Balanced,OneHot+Scaler+5Fold-Stratified+VerboseOff,0.8564,0.6621,0.6092,0.6263
CatBoost-Tuned,OneHot+Scaler+5Fold+Depth8+LR0.05+BagTemp1.0,0.8536,0.6848,0.5407,0.5969
CatBoost-Aggressive,OneHot+Scaler+500Iter+LR0.03+Depth10+Bag0.25,0.855,0.7051,0.5062,0.582
CatBoost-BayesTuned,OneHot+Scaler+BayesSearch+5Fold,0.8619,0.6741,0.657,0.6577
SVC-RBF-Pipeline,OneHot+Scaler+5Fold+Balanced,0.7789,0.4761,0.6432,0.541
SVC-BayesTuned,OneHot+Scaler+BayesSearch+RBF+Balanced,0.8356,0.6002,0.5621,0.5788
SVC-BayesTuned,OneHot+Scaler+BayesSearch+RBF+Balanced,0.8356,0.6002,0.5621,0.5788
SVC-BayesTuned-Recall,OneHot+Scaler+BayesSearch+RBF+Balanced+RecallOpt,0.2017,0.2017,1.0,0.3356
Bagging-DecisionTree,Bagging-with-Preprocessing-5Fold,0.8674,0.7866,0.4722,0.5855
Bagging+DT-Tuned,BayesCV-Tuned-Recall-Max-5Fold,0.8688,0.7654,0.5129,0.6073
Bagging+DT-Tuned,BayesCV-Tuned-Recall-Max-5Fold,0.8688,0.7654,0.5129,0.6073
Bagging+DT-Balanced-Tuned,BaggingDT+Balanced+BayesCV-Recall,0.7748,0.4725,0.8007,0.5914
AdaBoostClassifier,AdaBoost-5Fold-Preprocessed,0.8688,0.7804,0.5067,0.605
AdaBoostClassifier-Tuned,"AdaBoost-Tuned-SAMME-OrderedDict({'classifier__learning_rate': 1.0, 'classifier__n_estimators': 180})",0.8619,0.7244,0.5271,0.6048
BalancedBagging-DecisionTree,Bagging+Balanced+DT(max_depth=6)+5Fold,0.8205,0.5568,0.7531,0.6332
BalancedBagging-DecisionTree,Bagging+Balanced+DT(max_depth=6)+5Fold,0.8205,0.5568,0.7531,0.6332
EasyEnsembleClassifier,Ensemble+Undersampling+AdaBoost+5Fold,0.8011,0.509,0.8011,0.6191
EasyEnsembleClassifier+ThresholdTuning,EEC-ThresholdTuning-5Fold,0.8053,0.5155,0.8145,0.6276
EasyEnsemble-Top20Feat+Thresh,5Fold-EEC+Top20Selector+ThreshTuned-0.50,0.797,0.5018,0.8152,0.6186
BalancedBagging-LGBM,5Fold-BBC+LGBM-ThresholdTuned-0.50,0.8329,0.5719,0.7674,0.6523
Stacking-CatLGBMSVCBBC,StackingCatLGBMSVCBBC+LogRegMeta+ThreshTuned-0.35,0.866,0.6772,0.6775,0.6716
VotingEnsemble-XGB+Bagging+CatBoost,"SoftVoting-5Fold-[2,1,2]-Thresh0.45",0.8674,0.7265,0.5816,0.6369
ManualSoftVoting-XGB+Easy+CatBoost,"ManualSoftVoting-Weights[2,1,2]-Thresh0.45",0.8647,0.7322,0.554,0.6195
ManualSoftVoting-Cat+Ada+SVC,"ManualSoftVoting-Weights[1,2,2]-Thresh0.45",0.8674,0.7665,0.5269,0.6127
Stacking-EEC+BBC-LGBM+CatBoost,Stack[RidgeCV]-Thresh0.4,0.8591,0.8762,0.3623,0.5058
