iter	Logloss
0	0.6588448793
1	0.6311096697
2	0.6041106756
3	0.5816747339
4	0.5605937895
5	0.5457508235
6	0.528966282
7	0.5145932192
8	0.5023270075
9	0.4892568852
10	0.4812298348
11	0.4736171743
12	0.465005274
13	0.4584667564
14	0.4526976696
15	0.4471159456
16	0.4431057925
17	0.4379118187
18	0.4333394931
19	0.4306950859
20	0.4272952422
21	0.4250461304
22	0.422344819
23	0.4198608398
24	0.4165349296
25	0.4144911371
26	0.4129029585
27	0.4109450282
28	0.4091555769
29	0.4072392079
30	0.4050104131
31	0.4028944574
32	0.3998999411
33	0.3978172007
34	0.3957286013
35	0.3940709572
36	0.3927052956
37	0.3909373415
38	0.3885772031
39	0.3864624276
40	0.3849898702
41	0.3834446017
42	0.3821763518
43	0.3804141303
44	0.379382476
45	0.3788521698
46	0.3768003685
47	0.375734698
48	0.3742754183
49	0.3732798034
50	0.3718659628
51	0.3700573326
52	0.3685881894
53	0.366966374
54	0.3660454513
55	0.3652980657
56	0.3649242254
57	0.3625754678
58	0.3615603789
59	0.3603978868
60	0.3591975428
61	0.3579557219
62	0.3571666486
63	0.3552577403
64	0.3542496486
65	0.3532466362
66	0.3514229369
67	0.3501403134
68	0.3491841943
69	0.3481018109
70	0.3466995829
71	0.3458329722
72	0.345135831
73	0.3442039911
74	0.3434463417
75	0.3427451118
76	0.3413955941
77	0.3405457386
78	0.3400128612
79	0.3390664159
80	0.3381751888
81	0.3368270832
82	0.3357786948
83	0.3352051203
84	0.3344192505
85	0.3329372933
86	0.3320159069
87	0.3309934416
88	0.3302696397
89	0.3287513902
90	0.3280311289
91	0.32707952
92	0.326385477
93	0.3259221915
94	0.3253723692
95	0.3246133288
96	0.3236581581
97	0.3222483219
98	0.3216235756
99	0.3199319155
100	0.3190950847
101	0.3185007928
102	0.3177008866
103	0.3171519496
104	0.3164410459
105	0.3155974499
106	0.3146929662
107	0.3144765612
108	0.3128345974
109	0.3119204189
110	0.31089945
111	0.3097665903
112	0.3090412077
113	0.3079593722
114	0.3065930783
115	0.3047835629
116	0.3037343737
117	0.3022267463
118	0.3011901603
119	0.3002697644
120	0.2998824989
121	0.2987246013
122	0.2975658817
123	0.2967651747
124	0.2957730583
125	0.2943690811
126	0.2928839626
127	0.2914634831
128	0.2902527277
129	0.2896797644
130	0.2887830787
131	0.2876863216
132	0.2870900697
133	0.2864842494
134	0.2853751209
135	0.2848002397
136	0.2841295695
137	0.283010957
138	0.282520231
139	0.2811993762
140	0.2801549501
141	0.2791066038
142	0.2781261212
143	0.2774010548
144	0.2759819242
145	0.2757862787
146	0.2749237145
147	0.2738875078
148	0.2737292717
149	0.2725882135
150	0.2716358248
151	0.2711738038
152	0.2701926468
153	0.2697835891
154	0.268398306
155	0.2677092579
156	0.2669062114
157	0.2662411263
158	0.265635854
159	0.2645482648
160	0.26426231
161	0.263315401
162	0.262220878
163	0.2616926794
164	0.2604835047
165	0.2591590249
166	0.2577429924
167	0.2569607898
168	0.2567507496
169	0.2550793853
170	0.2544016548
171	0.2536488317
172	0.2530969441
173	0.251977088
174	0.2516564216
175	0.2504048216
176	0.2488001618
177	0.2484319697
178	0.2474661137
179	0.2464709835
180	0.2453351943
181	0.2444587623
182	0.2434520195
183	0.2422508113
184	0.2418278647
185	0.240540731
186	0.2395163267
187	0.2391010938
188	0.2383872185
189	0.2378514959
190	0.2371762945
191	0.2366715953
192	0.2364188769
193	0.2346883953
194	0.2340345225
195	0.2333414067
196	0.2329083016
197	0.2325477389
198	0.2311090079
199	0.2302581408
200	0.22961959
201	0.2286126153
202	0.2276584141
203	0.2267532349
204	0.2265834914
205	0.2254599893
206	0.2243402386
207	0.2241697364
208	0.2234955255
209	0.2227173273
210	0.2220970913
211	0.2213962407
212	0.2209047771
213	0.220336071
214	0.2193778654
215	0.2181215655
216	0.2178806284
217	0.2167429002
218	0.2153914436
219	0.213976212
220	0.2137615984
221	0.2128746286
222	0.2115653444
223	0.2113958538
224	0.2103800062
225	0.2102472295
226	0.2100874126
227	0.2092879912
228	0.2084736903
229	0.2072109834
230	0.2069357772
231	0.2061783174
232	0.2050285972
233	0.2040158267
234	0.2038746196
235	0.2030597076
236	0.2028670337
237	0.2020955376
238	0.2019214736
239	0.2017609823
240	0.2016245384
241	0.2006596096
242	0.2001328863
243	0.199432626
244	0.1992274332
245	0.19907866
246	0.1982386046
247	0.1971616165
248	0.1970814657
249	0.196151059
250	0.1952025693
251	0.1945909742
252	0.1944184698
253	0.1938978164
254	0.1931682819
255	0.1921970093
256	0.1915845081
257	0.1906454603
258	0.1903212531
259	0.1900933619
260	0.1890959555
261	0.1889025019
262	0.1886059671
263	0.1879160338
264	0.1870912162
265	0.1864045285
266	0.1857573788
267	0.1849250583
268	0.1840741489
269	0.1827971527
270	0.1822064647
271	0.182033307
272	0.18109114
273	0.1806728511
274	0.180015585
275	0.179768262
276	0.1794709896
277	0.1793331757
278	0.1791899455
279	0.178744785
280	0.1780962443
281	0.177329996
282	0.1766794321
283	0.1765384147
284	0.1761338671
285	0.1758219261
286	0.1749640723
287	0.1741663264
288	0.1740340343
289	0.1731259889
290	0.1722608851
291	0.1718836305
292	0.1717866613
293	0.1716862146
294	0.1707378092
295	0.1702291373
296	0.1694705183
297	0.1690435041
298	0.1688256027
299	0.1682769712
